ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NewLoanApplication
10001,737,0.479046981473649,34979,63,6,12,2904,8,15,Mortgage,High School,Widowed,20,37752.0
10002,411,0.4429300904574954,56459,28,7,4,17639,11,4,Rent,High School,Widowed,21,52917.0
10003,732,0.5323139674561232,76570,26,5,8,17730,7,10,Rent,High School,Widowed,10,106380.0
10004,710,0.295540978309909,86752,51,8,16,7166,16,18,Mortgage,Masters,Widowed,17,35830.0
10005,848,0.2483777846419732,102286,29,4,8,4688,16,1,Own,High School,Widowed,26,32816.0
10006,828,0.3431732780464748,72326,66,9,7,4809,13,27,Mortgage,High School,Divorced,9,57708.0
10007,433,0.6888419576261036,117902,43,8,0,17240,15,13,Mortgage,Masters,Divorced,3,103440.0
10008,624,0.0079853559775933,152049,34,5,7,12710,9,2,Rent,High School,Widowed,14,139810.0
10009,685,0.0912461864297545,110153,65,7,7,10950,4,28,Rent,Masters,Divorced,1,229950.0
10010,502,0.1230414873907888,156750,49,6,5,13097,3,7,Own,High School,Divorced,16,248843.0
10011,460,0.0303563361865748,60207,41,4,4,10571,6,7,Mortgage,Masters,Widowed,16,73997.0
10012,556,0.4605760533573664,25140,55,5,6,13563,18,15,Rent,Masters,Widowed,1,94941.0
10013,844,0.5121728304538827,87135,87,9,1,9882,3,13,Rent,High School,Widowed,8,138348.0
10014,743,0.098325106333344,173959,49,7,19,8299,7,0,Mortgage,High School,Widowed,24,149382.0
10015,342,0.0269260794125715,63666,87,9,9,19378,8,25,Mortgage,High School,Widowed,28,174402.0
10016,587,0.5051635442564755,34557,67,8,8,13530,0,0,Mortgage,High School,Widowed,18,40590.0
10017,810,0.3566282070162758,54762,81,8,19,3896,5,1,Rent,Bachelor,Widowed,5,27272.0
10018,302,0.1142218851480243,168242,38,8,18,9034,9,13,Rent,Masters,Widowed,6,63238.0
10019,561,0.6969307757468237,148137,27,8,12,12686,6,9,Rent,Bachelor,Widowed,5,215662.0
