index,employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,jobinvolvement,performancerating,surveydate,attrition,retirementdate,retirementtype,resignationreason,age,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,infodate
4,2,3.0,2.0,4.0,2015-12-31 00:00:00,2,4,2015-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,2015-12-31 00:00:00
5,2,3.0,2.0,4.0,2015-12-31 00:00:00,2,4,2015-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,2016-12-31 00:00:00
6,2,3.0,2.0,4.0,2015-12-31 00:00:00,2,4,2016-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,2015-12-31 00:00:00
7,2,3.0,2.0,4.0,2015-12-31 00:00:00,2,4,2016-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,2016-12-31 00:00:00
24,7,1.0,3.0,1.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-07-20 00:00:00,Resignation,Stress,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,2015-12-31 00:00:00
25,7,1.0,3.0,1.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-07-20 00:00:00,Resignation,Stress,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,2016-12-31 00:00:00
26,7,1.0,3.0,1.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-07-20 00:00:00,Resignation,Stress,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,2015-12-31 00:00:00
27,7,1.0,3.0,1.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-07-20 00:00:00,Resignation,Stress,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,2016-12-31 00:00:00
52,14,1.0,2.0,2.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-11-08 00:00:00,Resignation,Others,47,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,2015-12-31 00:00:00
53,14,1.0,2.0,2.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-11-08 00:00:00,Resignation,Others,47,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,2016-12-31 00:00:00
