employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,jobinvolvement,performancerating,surveydate,attrition,retirementdate,retirementtype,resignationreason,age,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,infodate
2,3.0,2.0,4.0,2015-12-31 00:00:00,2,4,2015-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,2015-12-31 00:00:00
2,3.0,2.0,4.0,2015-12-31 00:00:00,2,4,2015-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,2016-12-31 00:00:00
2,3.0,2.0,4.0,2015-12-31 00:00:00,2,4,2016-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,2015-12-31 00:00:00
2,3.0,2.0,4.0,2015-12-31 00:00:00,2,4,2016-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,2016-12-31 00:00:00
7,1.0,3.0,1.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-07-20 00:00:00,Resignation,Stress,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,2015-12-31 00:00:00
7,1.0,3.0,1.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-07-20 00:00:00,Resignation,Stress,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,2016-12-31 00:00:00
7,1.0,3.0,1.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-07-20 00:00:00,Resignation,Stress,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,2015-12-31 00:00:00
7,1.0,3.0,1.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-07-20 00:00:00,Resignation,Stress,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,2016-12-31 00:00:00
14,1.0,2.0,2.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-11-08 00:00:00,Resignation,Others,47,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,2015-12-31 00:00:00
14,1.0,2.0,2.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-11-08 00:00:00,Resignation,Others,47,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,2016-12-31 00:00:00
14,1.0,2.0,2.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-11-08 00:00:00,Resignation,Others,47,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,2015-12-31 00:00:00
14,1.0,2.0,2.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-11-08 00:00:00,Resignation,Others,47,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,2016-12-31 00:00:00
29,4.0,3.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,44,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,2015-12-31 00:00:00
29,4.0,3.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,44,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,2016-12-31 00:00:00
29,4.0,3.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,44,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,2015-12-31 00:00:00
29,4.0,3.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-10-15 00:00:00,Resignation,Others,44,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,2016-12-31 00:00:00
31,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-02-08 00:00:00,Resignation,Salary,26,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2015-12-31 00:00:00
31,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-02-08 00:00:00,Resignation,Salary,26,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2016-12-31 00:00:00
31,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-02-08 00:00:00,Resignation,Salary,26,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2015-12-31 00:00:00
31,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-02-08 00:00:00,Resignation,Salary,26,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2016-12-31 00:00:00
36,4.0,4.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-06-18 00:00:00,Resignation,Others,26,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,2015-12-31 00:00:00
36,4.0,4.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-06-18 00:00:00,Resignation,Others,26,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,2016-12-31 00:00:00
36,4.0,4.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-06-18 00:00:00,Resignation,Others,26,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,2015-12-31 00:00:00
36,4.0,4.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-06-18 00:00:00,Resignation,Others,26,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,2016-12-31 00:00:00
39,3.0,3.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-04-29 00:00:00,Resignation,Stress,18,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,2015-12-31 00:00:00
39,3.0,3.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-04-29 00:00:00,Resignation,Stress,18,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,2016-12-31 00:00:00
39,3.0,3.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-04-29 00:00:00,Resignation,Stress,18,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,2015-12-31 00:00:00
